ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100011: Ward 11,932,1100,1763,4144,208,2509.6096,4314,4909,13431,1378,19.92961,37,46,143,9,196.95144,541,843,3066,1156,1049,1098,598,88,12,3681,3844,3630,558,72,21,31,45,11,1,317,1087,1589,309,29,2678.81517,918.37107,10220.01652,1841.03073,115.65286,9.91172,2511.54724,137.0086,1335.79168,288,2300,1477,744,106.31036,4622.11291,1263,8300,4985,3263,426.62186,35.03398,10,60,50,58,5.63534,397.86,94,1154,1999,1349,231.25645,3414,4734,11799,14743,125,130,3811,1992,70,66,79,72
19100012: Ward 12,129,199,350,693,43,3378.9591,5676,6442,16029,1179,26.96359,39,47,141,6,5.86165,7,11,31,8,202,273,95,6,1,5931,6239,1893,53,17,54,48,16,0,0,12,10,7,2,0,487.86099,174.71569,10261.43827,3356.24381,80.01621,25.82797,20.87211,2.47793,238.31944,68,431,337,146,25.12514,6548.03736,2401,12680,5695,670,317.99739,52.07343,16,92,54,11,1.26615,9.91641,5,22,12,7,1,566,849,13365,19341,120,140,38,25,69,62,69,81
19100013: Ward 13,1463,2128,2519,5578,150,4061.93244,6041,7211,15315,492,12.89563,22,42,76,2,3.51699,6,9,31,1,3257,1712,257,16,4,7274,5764,719,44,12,30,33,7,0,0,12,3,5,0,0,3065.08097,2298.18228,8991.42285,5175.3695,54.51446,27.3116,14.6558,9.80298,2298.09707,527,4420,2304,338,76.57616,7114.24656,2617,13843,4038,267,115.73593,37.35489,7,57,30,4,3,6,4,26,8,2,0,3490,8348,12933,20187,57,100,30,19,53,56,57,54
19100014: Ward 14,953,1121,1415,4208,117,2921.88338,4714,4981,14633,960,11.7233,34,40,152,4,442.62375,658,738,3945,623,1482,1179,634,133,9,3542,4315,4104,552,59,21,41,44,18,3,258,885,2098,546,54,2952.49012,1214.96428,10960.36438,2617.31998,130.61325,11.28661,3452.38514,173.42777,1519.19295,381,2437,1298,673,88.99623,5247.86026,1394,8685,5869,2827,455.6847,29.28521,11,66,59,47,3.43848,491.24097,115,1057,1884,1961,317.22645,3296,4517,12593,15617,123,118,4187,2221,73,68,79,74
19100015: Ward 15,148,253,405,1016,214,282.58406,575,655,2180,296,19.41262,31,62,108,13,782.22081,1805,1770,8470,3119,134,264,295,115,26,371,623,652,86,22,6,29,32,16,0,448,1539,4508,2307,293,761.98014,96.02492,1717.23429,222.68717,78.48961,9.80298,7050.63554,288.90159,226.0921,29,298,417,579,64.24139,646.67337,165,1022,1094,575,83.54173,37.34466,6,36,47,70,2.26615,1355.43093,204,1567,3616,7418,678.21951,1022,1014,2059,1928,127,107,10810,5137,69,69,82,73
19100016: Ward 16,1648,2211,2345,6203,275,3077.1573,5148,5957,14535,698,22.10194,30,51,101,8,13.7233,21,24,129,21,2397,1802,1118,50,13,3347,5658,2661,106,17,33,38,22,0,0,15,18,2,0,0,4065.05901,1464.18247,10339.13509,2896.10361,72.32767,19.61166,25.29567,10.43379,2329.38635,542,3777,2909,855,131.05707,5518.22186,1633,10932,6121,798,219.74278,42.23693,3,88,35,9,5.26615,11.21178,4,38,21,5,1,4473,8209,12143,17272,72,140,109,101,62,68,61,68
19100017: Ward 17,416,673,768,1986,91,3524.30888,6210,7003,18037,1190,44.54854,46,56,146,3,9.37864,12,24,113,15,320,587,540,37,5,4504,6102,3849,156,35,22,52,21,4,0,18,21,30,19,5,1398.74304,348.64987,12641.86651,3287.60555,101.21454,9.80298,78.20636,8.64557,631.98536,173,1127,933,393,65.05476,6905.95728,2121,12457,7945,1700,387.88708,41.2067,8,84,51,49,5.21178,17.9011,7,35,40,48,2.42356,1663,2272,15415,20550,134,161,119,54,68,69,83,82
19100018: Ward 18,2601,3719,4893,10359,383,32.52474,36,40,116,5,8.20631,5,1,5,0,2.34466,1,1,12,0,6470,2342,793,43,20,48,38,11,0,2,12,1,0,0,0,5,2,1,0,0,5439.45968,3809.71081,74.50954,26.00818,2.47793,1.21178,7.54253,2.42356,4455.55575,1101,7718,4220,870,200.08003,41.54041,9,77,54,2,0,6.17233,0,1,4,0,0,2.21178,1,5,5,0,1.26615,6174,15781,90,140,4,16,10,7,57,68,100,50
19100019: Ward 19,2331,2983,2966,8406,182,4180.14362,7308,6787,17391,710,19.75728,50,63,134,9,16.41262,25,15,82,1,3510,2256,1580,140,26,6904,5488,3223,216,39,33,41,53,0,0,11,27,25,6,0,5624.95283,2407.62747,12444.26883,3942.2222,105.07306,29.51768,60.1441,9.91172,3316.80784,748,5141,3057,1531,196.16293,8057.20744,2265,12832,6007,1681,371.17046,60.99492,10,86,55,35,5,20.51699,4,33,37,13,7.21178,6280,10589,15357,21019,124,153,77,63,64,61,70,67
19100020: Ward 20,2092,2859,3403,7844,190,2851.33554,4603,5107,11377,472,19.92961,35,43,79,7,7.03398,4,6,27,1,4511,2503,359,21,7,5171,3818,496,33,8,54,18,4,1,0,8,9,0,1,0,4505.1954,3349.06803,6427.47338,3861.60205,42.17918,32.43057,11.06913,7.43379,3304.24085,753,5877,3156,496,171.46463,5742.66327,1906,10002,2823,219,116.70481,39.41848,13,82,24,0,4,7.26615,2,16,11,0,0,5310,11077,9595,14814,70,115,20,25,62,55,66,50
19100021: Ward 21,78,123,193,919,134,75.66334,180,233,838,56,7.03398,32,34,125,12,847.04362,2084,2501,10097,2805,59,186,297,148,5,80,282,289,107,14,4,19,52,26,2,535,1942,5185,2803,292,667.5245,31.19907,765.20551,28.35716,113.2293,6.90149,9035.38322,341.39471,130.42548,21,134,240,485,43.81183,176.19838,31,225,300,386,41.44979,22.34466,2,18,41,97,6.01023,1549.8077,220,1914,4559,7944,664.9358,702,744,612,771,108,102,11724,6608,58,47,59,71
19100022: Ward 22,290,365,734,1553,99,2421.39842,4113,4714,13137,1767,27.96359,58,55,170,14,2.34466,9,17,62,12,614,393,147,39,1,4248,4297,3102,312,61,29,29,53,5,0,8,15,15,6,1,937.69756,315.37302,8698.89176,2200.33547,103.27461,19.87781,42.26629,4.95586,502.71312,136,853,554,239,30.81128,4669.62419,1638,8801,5394,2110,363.57197,45.38411,9,89,59,61,6.47793,9,2,24,18,30,2,1130,1911,11385,14766,153,173,59,45,63,63,64,79
19100023: Ward 23,421,526,556,2416,138,252.10694,442,458,1569,91,69.74747,82,81,462,16,1484.26133,2810,2752,15492,2701,405,623,723,397,43,477,349,440,150,13,14,63,210,91,17,882,2666,7456,3765,424,2125.94483,161.12563,1279.44704,163.62123,404.76675,11.94512,13620.15123,656.587,498.53659,101,590,883,1283,155.21751,692.22606,157,588,484,468,93.05153,62.28521,8,79,150,286,41.62189,2045.33659,338,3057,7666,8799,1331.75471,1876,2182,1366,1446,426,286,16298,8941,65,61,70,68
19100024: Ward 24,217,229,349,945,42,2606.9561,4369,4722,12567,1444,4.68932,26,15,34,6,0,2,1,12,6,529,178,24,1,2,6157,3665,823,40,12,21,14,0,0,0,3,4,7,0,1,460.70284,427.82279,6780.42075,2494.66436,19.76907,2.42356,9.74861,2.42356,347.50868,147,728,258,29,6.16975,5874.85741,2097,10197,3348,826,95.51247,29.34466,13,21,14,0,0,2,0,7,7,4,0,652,1129,9920,15789,26,59,18,4,64,54,61,52
19100025: Ward 25,171,250,295,985,87,3667.63556,6099,6597,16882,1813,164.1262,340,527,1538,227,2.34466,8,10,37,5,243,319,81,6,1,5907,5533,1526,103,12,339,431,369,48,6,6,10,5,0,0,564.51879,192.02614,10055.1882,3405.25053,989.64219,102.97002,17.12803,2.5323,349.7234,108,576,371,92,26.80871,7325.26677,2681,13857,5549,845,136.80522,400.2677,146,824,797,377,39.51784,7.21178,1,15,23,4,0,818,969,13513,21545,1472,1325,33,29,69,57,74,73
19100026: Ward 26,513,585,709,2568,162,1696.05548,3015,3268,9388,1115,61.6165,80,132,364,20,282.77425,522,733,3527,921,389,911,510,50,11,2457,3041,1986,202,18,57,100,121,20,1,778,1460,1127,67,9,1774.83239,353.68944,6122.7132,1176.80549,285.11571,30.68079,2460.59637,269.33407,549.97537,149,877,1506,690,103.69631,3508.48636,1114,6248,3993,1040,235.91992,72.26107,17,167,205,89,26.53683,457.46518,155,2317,2040,309,179.17739,1964,2573,7779,10704,341,316,3875,2110,73,56,81,63
19100027: Ward 27,531,606,842,2960,118,754.43206,1449,1488,5114,382,95.95873,162,170,583,50,437.10676,883,1535,7023,2154,400,1028,911,157,11,501,1161,2398,425,37,53,87,273,71,5,1018,2575,3174,260,57,2434.16944,304.76846,4401.21469,349.09399,471.6262,33.3705,5548.98228,416.47099,468.70787,75,685,1697,1182,173.20545,1144.67215,261,2165,2659,1600,257.55164,147.55097,29,188,298,255,14.63534,849.90677,239,3879,4366,1364,486.42791,2228,2830,4730,4457,578,484,7888,4144,71,67,78,66
19100028: Ward 28,130,224,295,739,70,2864.58636,5044,5271,14179,1562,17.58495,25,27,85,9,4.68932,6,2,16,6,226,262,53,5,3,6188,5125,1450,52,15,32,25,12,0,0,13,9,2,0,0,535.11666,137.53227,8288.64214,2517.99949,47.80312,14.92195,14.75884,2.42356,246.16594,106,525,327,55,19.18264,5908.06406,2240,11479,4977,469,184.98635,25.9011,16,56,36,7,1.21178,5,0,11,10,2,0,604,854,11181,17739,67,97,15,19,64,54,72,100
19100029: Ward 29,187,271,420,1011,62,4281.83698,7352,7529,19658,1629,16.24029,12,19,73,7,10.13097,15,9,59,5,427,288,136,10,2,9841,6815,2029,96,33,27,27,6,1,0,10,10,15,0,1,610.58827,181.40358,11918.99337,4785.42214,51.81905,18.61166,35.79276,9.80518,404.33087,92,659,413,53,15.64501,8182.75193,2675,15502,7429,902,230.57779,20.39434,8,38,32,4,4.95586,16,1,33,24,2,3,784,1167,15848,24602,59,67,49,49,72,60,74,81
19100030: Ward 30,243,250,414,1042,46,2907.74806,4994,5330,14466,1690,16.41262,42,44,116,13,203.98542,379,492,2096,411,251,358,230,22,4,6257,5136,2049,93,13,29,45,30,0,0,711,888,456,33,4,783.26592,134.27521,9111.06074,2567.73463,79.07628,12.38965,1394.57036,234.64217,261.40073,46,384,555,230,54.87189,6001.61161,2086,11345,5292,615,205.13687,45.34466,15,68,60,14,2.26615,369.90023,120,1825,800,80,91.99561,736,1259,12133,17254,102,130,2150,1433,64,55,65,66
19100031: Ward 31,375,673,629,1757,140,3282.77102,5652,5674,14432,1555,16.41262,30,47,61,7,7.51699,8,10,27,1,543,442,544,64,5,8154,4519,1226,94,22,46,18,6,4,0,9,7,6,0,0,1223.99258,261.63641,7930.13124,3123.83648,50.71601,8.53683,16.07936,4.95586,626.61379,165,857,668,624,45.75693,7127.70789,2404,11959,4171,611,172.54075,41.34466,7,55,25,6,3.5323,2,0,13,12,4,2,1334,2240,12081,18515,57,105,27,26,61,53,51,71
19100032: Ward 32,862,1069,1512,3997,68,3183.20044,4990,5597,13735,871,25.79126,25,26,84,2,32.6499,71,91,453,74,2091,1290,162,11,2,6324,4683,1451,77,30,24,36,12,0,0,93,100,154,43,4,2825.57556,1236.94211,8464.11605,2502.72024,56.99239,16.07936,351.62919,41.74422,1395.87072,371,2958,1534,130,62.50069,5990.13544,1861,10331,5515,397,246.39552,25.34466,7,49,39,4,7.26615,101.08256,15,150,247,128,36.11327,2794,4714,11205,17171,50,113,401,321,67,62,76,68
19100033: Ward 33,5471,6591,8950,21563,356,36.1386,63,60,173,9,3.51699,5,8,24,0,4.68932,1,4,10,0,14459,6592,535,43,42,122,38,7,0,0,17,1,0,0,0,8,2,0,0,0,13148.27099,8967.10406,89.87955,66.20341,15.08506,6.33075,4.95586,3.79845,7649.8971,1894,17016,8487,827,272.06383,105.56908,25,132,35,1,0,14.66049,0,13,6,0,0,5.17233,0,6,4,0,0,13820,29112,137,205,15,25,9,11,63,51,77,100
19100034: Ward 34,4338,5026,7272,16641,438,18.0693,33,38,117,5,1.17233,2,10,12,0,0,8,10,20,0,10255,5377,513,48,12,63,28,2,1,0,12,6,1,0,0,7,5,1,0,0,10530.03059,5911.65149,79.24138,34.29737,17.39988,2.47793,14.81321,3.74408,6079.07322,1443,13280,6493,705,290.49038,42.72337,22,86,35,2,0,1,2,13,5,2,0,7.21178,2,19,7,0,0,10614,23101,76,135,5,21,12,26,61,50,67,41
19100035: Ward 35,4946,6382,7931,18384,515,152.68972,255,261,644,46,4.68932,7,3,22,0,5.86165,18,7,37,0,11428,5540,724,38,13,282,181,32,1,0,8,6,2,0,0,16,10,1,0,0,10570.22113,6165.89225,342.00486,158.08813,13.54706,2.42356,14.54706,8.75431,7951.2127,1752,13558,7304,1007,262.21583,311.40223,82,571,164,13,3,13,0,7,9,1,0,7.42356,2,20,7,0,0,11983,26175,567,791,8,28,20,46,59,64,43,53
19100036: Ward 36,4211,5461,6964,15614,836,87.93726,177,203,446,32,1.17233,4,5,11,1,2.34466,9,4,11,1,11560,3472,455,43,12,276,122,6,2,0,9,4,0,0,0,12,4,0,0,0,6985.76933,5683.2139,206.9333,200.92533,6.27638,6.22201,6.16764,4.90149,7760.94316,1563,12149,5115,941,218.6777,344.15194,93,299,86,2,1.18296,6,1,11,2,0,0,10.82259,1,5,4,0,0,9256,23832,377,570,4,18,10,18,55,58,34,100
19100037: Ward 37,2519,3469,4512,10738,669,10.84158,15,8,52,5,1.17233,0,8,9,0,3.51699,4,4,6,0,7840,2393,243,45,7,31,2,0,0,0,4,6,0,0,0,5,2,0,0,0,4955.64573,4634.84512,15.37848,30.75696,9.96609,1.21178,3.68971,3.79845,4641.98944,1185,8469,3857,387,133.82917,29.48643,6,31,11,0,0,7.54253,0,7,1,0,0,5,1,4,4,0,0,5436,16472,34,57,5,12,1,16,52,38,59,0
19100038: Ward 38,2277,3227,3702,9982,1198,13.25082,13,16,65,16,2.34466,1,4,5,2,1.17233,1,5,12,2,6658,2566,601,34,5,41,14,1,0,0,6,1,0,0,0,4,5,1,0,0,4588.96952,3962.30672,24.84216,22.44236,5.01023,0,2.42356,4.90149,3870.75508,844,7399,4071,1097,100.36318,34.32041,5,53,15,0,0,0,0,10,2,0,0,3.21178,0,12,5,0,0,4652,15734,52,72,4,10,5,17,43,33,76,25
19100039: Ward 39,3023,3553,5274,11807,507,6.0231,7,11,29,0,0,1,1,3,0,4.68932,14,10,38,9,8653,3354,258,19,6,21,4,0,0,0,2,0,0,0,0,7,6,22,6,1,6308.80153,4372.55868,11.8296,10.63817,1.26615,0,34.47354,3.68971,5016.24993,1245,9424,3693,848,125.80381,10.36592,2,22,4,0,0,1,0,1,1,0,1,13.68932,4,18,14,9,6,6853,17311,17,36,1,4,42,34,59,56,0,79
19100040: Ward 40,3459,4143,5455,14353,738,18.0693,26,42,114,11,5.86165,1,2,7,0,3.51699,0,1,5,1,9791,4084,479,36,13,60,32,2,0,0,12,1,0,0,0,1,4,0,0,0,7856.07803,5977.78282,55.59065,48.47595,7.48816,1.21178,2.47793,2.47793,4828.23926,1222,11194,5729,671,204.82928,46.05846,15,105,25,0,1,7.79845,0,2,1,0,0,1,0,5,1,0,0,8210,19937,96,116,1,16,3,7,60,45,67,33
19100041: Ward 41,2061,3173,3567,10588,1270,27.70626,25,40,116,21,3.51699,1,4,9,1,0,0,5,9,1,5468,2801,830,35,8,61,15,4,0,0,15,0,0,0,0,4,1,4,1,0,5021.03332,3837.05964,39.02074,37.83778,3.79845,1.21178,4.95586,1.21178,3199.1051,846,7321,5055,1185,161.43863,50.91572,18,77,31,5,1,3.21178,4,2,3,0,0,1.21178,0,4,4,4,0,4665,15994,78,151,2,16,6,9,42,42,51,75
19100042: Ward 42,2211,2849,4279,9987,439,702.29346,1314,1429,3522,616,5.86165,11,17,34,2,2.34466,1,4,7,4,6696,2767,286,46,6,1966,918,286,25,1,17,16,1,0,0,5,3,2,1,0,5632.82607,3450.92698,1643.89937,731.46453,21.08959,7.43379,6.22201,2.47793,3539.85462,828,8114,3941,382,144.86392,1527.7852,478,3241,1277,83,40.54173,10.26615,7,32,10,2,1,4,0,4,6,2,0,5246,14518,3168,4414,24,46,10,8,62,56,58,81
19100043: Ward 43,195,342,362,1149,96,3231.72154,6139,6426,19448,1811,29.30825,79,81,269,28,4.68932,11,14,67,12,223,298,436,17,1,3891,6205,6329,358,60,56,82,86,10,1,18,18,20,6,0,920.08248,170.8683,14847.91709,2669.25264,204.58079,38.38073,52.70461,1.21178,340.73414,59,618,569,238,51.10665,5654.24517,1870,12463,9151,3006,647.79749,63.95547,20,150,134,61,13.68971,10.17233,4,29,36,14,9.34466,1063,1081,18311,18745,263,222,76,32,77,70,76,80
19100044: Ward 44,1553,2026,2900,7040,327,1860.20064,3182,3609,9265,1717,19.92961,36,58,129,21,2.34466,8,8,24,7,3865,2350,397,19,5,5023,2646,1295,78,17,60,50,30,4,0,7,6,5,1,0,4395.87826,1987.74135,5409.98807,2369.42739,115.311,23.40441,13.49269,2.47793,2247.29463,608,5141,3088,456,91.71181,3796.48591,1482,7675,3116,830,135.68195,47.15233,22,77,54,31,7.47793,6.17233,0,15,7,7,0,4215,9632,8405,11228,127,138,23,26,57,56,69,100
19100045: Ward 45,1174,1797,2026,5834,526,2501.79112,4229,4464,9972,1030,16.41262,23,34,87,6,3.51699,1,4,17,0,3147,1808,549,45,8,6843,2212,270,37,10,46,10,4,1,0,2,6,1,0,0,3491.33368,1479.42731,4227.86232,3920.27573,34.63665,28.90397,7.32505,3.74408,1766.53112,442,4138,2671,638,135.21125,5450.22332,1749,8971,2193,200,46.13612,31.21178,6,68,33,5,1.21178,5,1,6,6,0,0,3142,8216,7722,14474,61,106,12,14,51,42,52,100
19100046: Ward 46,73,139,201,592,68,3016.36848,5346,5631,14477,2549,67.99514,143,192,531,66,3.51699,11,5,62,5,142,122,52,8,1,6769,3415,1894,250,20,107,108,166,34,0,7,11,12,6,0,273.13894,88.06293,7490.43212,2572.40718,383.22487,59.57906,38.21762,7.27068,153.9403,57,277,187,54,23.83056,5988.03137,2010,12209,5438,1133,282.31809,125.98984,41,239,295,176,23.07483,5,2,20,17,18,2.21178,437,637,13191,17829,505,495,50,36,54,55,74,56
19100047: Ward 47,81,123,155,387,74,3691.95568,6451,6482,14898,1879,8.20631,22,32,77,7,3.51699,2,3,17,10,177,108,9,1,1,7919,3999,454,40,5,30,17,9,1,0,11,4,1,0,0,173.68548,128.2153,6550.66265,4701.94517,39.26629,18.61166,7.43379,1.26615,180.54578,45,315,107,8,12.2008,7895.53184,2636,14056,3927,143,103.83074,21.34466,8,67,36,1,0,6,1,9,5,0,1,317,503,13161,20242,69,77,16,19,52,49,80,74
19100048: Ward 48,221,258,480,1327,205,1234.00614,2364,2763,9006,1994,474.79365,954,1444,4643,860,7.51699,7,16,69,13,316,352,253,30,3,2739,2312,2749,339,25,950,1075,1409,298,37,9,16,15,4,1,880.47156,119.48577,6008.10868,965.7499,3139.28258,354.28962,42.01607,1.26615,293.97468,82,634,617,257,47.71232,2420.91518,793,5286,4167,2335,336.6642,1075.35828,303,1860,2667,1642,148.8988,7.17233,1,18,25,30,6.68971,1207,1286,9049,8312,4595,3781,66,45,64,62,74,52
19100049: Ward 49,148,203,281,768,163,2917.31244,5181,6222,17748,2848,34.55097,54,91,258,35,9.68932,0,12,40,16,208,252,127,14,2,6758,5805,2722,154,32,63,82,76,8,1,19,12,5,0,0,539.4902,79.64352,11179.93527,2777.47362,197.71629,21.29684,23.45878,5.84712,192.07533,61,455,410,90,24.44854,5731.96983,2377,14513,7100,1025,320.93248,64.51699,9,126,134,84,7.26615,0,1,24,23,6,1,705,858,15849,19066,243,231,48,30,65,53,60,61
19100050: Ward 50,94,158,140,414,50,3018.77772,5474,5683,15152,2265,18.75728,25,32,61,13,3.51699,1,9,16,2,179,124,27,1,0,7130,5139,1113,54,14,32,22,4,2,0,5,5,6,0,0,284.01593,93.80636,8871.4518,3591.97187,47.13504,16.07936,11.06913,4.95586,202.45372,54,325,147,4,4.16975,6909.39384,2533,13107,4862,239,140.8592,32.30013,10,55,30,2,1,5,0,15,6,1,1.17233,356,500,13514,18079,66,83,21,11,55,54,54,37
19100051: Ward 51,2370,3466,4531,11795,876,16.22772,13,25,50,5,0,1,11,7,1,1.17233,4,6,8,8,5767,3809,1079,67,11,23,12,2,0,0,6,2,0,0,0,2,2,6,1,1,6737.42885,3797.59814,29.39104,10.27225,7.54253,4.90149,7.48816,2.21178,3926.12622,880,7876,5587,1483,165.46798,14.72337,1,28,16,4,0,8.40926,0,7,2,0,0,4,0,2,7,7,1.17233,6502,16536,41,69,6,15,20,8,56,47,100,71
19100052: Ward 52,2828,3486,5441,12361,381,9.63696,14,18,38,0,2.34466,2,0,6,0,0,0,1,6,1,6800,3452,530,23,18,15,11,2,0,0,6,1,0,0,0,1,3,0,0,0,6741.45169,5356.36194,20.11032,17.72746,3.63534,1.21178,2.5323,1.26615,4284.76564,1026,9569,5245,688,162.27359,15,5,21,24,2,0,4,1,2,1,0,0,0,0,6,2,0,0,7090,17409,29,50,0,11,2,6,61,36,20,34
19100053: Ward 53,871,1195,1664,5138,454,616.67304,1150,1230,4182,481,83.89077,156,164,543,52,418.00482,867,1273,5283,2399,1728,1404,835,267,37,868,1021,1366,521,45,43,69,218,128,12,568,1257,2976,1399,127,3063.99857,1022.25641,3331.93305,387.58279,437.14126,10.85735,4531.03332,173.47644,1129.20463,275,2157,1994,1486,201.89447,1050.45987,304,1898,1734,1400,155.88052,107.62987,26,133,213,350,22.16764,693.93178,118,1208,2375,4257,367.54882,3078,6244,3748,3912,511,488,6667,3572,58,65,71,62
19100054: Ward 54,295,282,791,3722,252,127.18808,135,281,1521,163,27.79126,42,67,565,39,723.60431,970,1736,11079,3985,372,1258,700,169,32,208,496,439,141,26,17,86,177,99,17,639,1929,6037,3279,615,2254.75376,203.88769,1131.5236,73.2927,350.07331,22.13826,9176.07416,363.73335,334.12606,79,605,1226,1232,102.60221,227.24969,94,423,446,493,44.19552,36.16725,13,47,144,303,13.49738,774.28534,130,1454,4697,8860,598.49898,2442,2900,1036,1191,425,316,11709,6785,50,39,65,59
19100055: Ward 55,1012,1120,1474,5152,270,911.0723,1664,1825,5491,632,99.44174,92,174,780,80,610.8883,1040,1555,7751,2333,677,1800,999,164,32,1251,1691,1483,204,26,57,132,239,136,11,1501,2332,3284,903,111,3652.0336,754.94583,4051.269,815.02217,553.51818,43.11458,5889.51353,591.42624,933.82872,157,1314,2534,1593,145.72305,1680.1658,507,3339,2320,925,175.37675,84.67955,23,168,225,364,36.08959,1025.04926,249,3626,3714,2888,510.73584,3816,5213,4970,5552,720,506,8350,4940,71,57,71,61
19100056: Ward 56,679,762,893,3116,104,2338.7549,3829,4529,13568,2116,47.8932,60,101,374,37,20.75728,31,67,241,46,587,1234,603,90,7,4486,4793,3370,276,28,66,106,140,15,2,55,78,82,16,1,2355.55037,346.462,9462.30421,1494.79233,269.78613,18.34551,180.68691,20.44855,695.70699,136,966,1499,1127,77.09873,4165.34986,1529,9397,6095,1732,348.95591,75.93586,29,144,166,124,11.5323,26.17233,7,131,112,63,12.26615,2298,3255,12054,14326,325,296,248,158,68,57,68,68
19100057: Ward 57,567,649,5084,4999,283,717.92714,1164,1920,4891,856,48.37621,113,493,638,87,399.62861,485,1936,5207,847,936,1563,1084,233,22,1100,1351,1331,232,18,89,165,216,94,9,457,1180,2730,1125,90,3093.09539,579.86747,3419.96463,617.66567,490.14842,57.30838,4735.43638,254.06032,523.39555,118,804,2903,2285,137.89702,1191.56853,372,2473,2161,1362,162.04654,118.12272,26,180,317,436,22.40356,414.81453,98,730,1767,4226,192.95246,3073,8508,4474,5076,567,812,4310,4564,60,59,65,57
19100058: Ward 58,447,493,1549,2816,187,326.15172,502,687,2085,234,72.68446,185,278,772,64,887.93682,1531,2703,9183,2419,275,842,879,290,32,215,405,897,383,39,48,106,299,220,7,596,1733,4953,2856,319,2145.64563,163.90169,1765.48414,102.82435,657.37215,28.52338,8489.04698,244.77707,349.32664,49,433,999,1791,115.20232,391.61583,87,544,878,1228,73.08928,139.29505,30,139,269,630,20.8825,1133.06495,191,1399,3305,8530,416.24968,1981,3510,1852,1981,685,688,9911,6814,61,55,68,62
19100059: Ward 59,217,262,1701,2334,190,115.00656,183,428,1235,200,53.92718,101,530,581,33,516.8252,1049,3092,7446,2604,222,785,842,191,29,124,294,573,171,13,49,193,270,146,27,564,1781,4304,2501,377,1760.21427,148.94072,1081.45204,70.76076,555.36413,28.94241,6929.01157,254.65722,252.95777,51,326,893,1682,83.55817,185.0694,63,316,472,706,32.64664,76.37864,8,89,315,633,27.03069,797.37369,138,1014,2928,7910,377.87727,1706,2998,1077,1084,469,829,8164,6543,52,45,54,54
19100060: Ward 60,240,359,522,1546,166,1543.54728,2963,3286,10614,1733,303.59949,601,703,2155,213,65.47815,153,285,1298,502,303,446,415,121,23,1934,2169,4106,1051,117,197,378,787,346,68,283,423,610,79,21,1256.17739,150.94256,8546.26446,790.48844,1746.84888,154.77884,953.74875,81.75006,332.87748,66,598,754,599,106.00093,2625.6911,671,4896,5528,3832,518.82214,485.19825,114,650,1010,1222,82.48862,151.27505,46,721,697,411,115.16771,1284,1550,10672,9469,2182,1794,1490,814,68,71,81,65
19100061: Ward 61,495,639,1635,3530,293,1355.60018,2358,3271,8504,772,21.41262,71,108,235,17,359.93434,708,891,4268,1938,360,492,359,61,25,1809,2371,837,81,11,12,52,92,16,2,350,1139,2320,861,120,1226.82425,335.55595,4352.8423,1116.84454,180.19772,22.247,3364.00326,166.8042,537.28938,112,916,737,353,62.89953,3188.50857,938,5191,2141,376,170.34696,55.51699,13,96,141,46,15.47793,540.33003,92,1096,2267,3025,389.85506,2059,4534,6434,9826,236,215,5670,2494,65,61,58,68
