ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100101: Ward 101,4119,5231,7189,15680,299,507.9404,777,704,1771,72,4.68932,5,10,9,0,5.86165,7,10,64,9,7515,4099,391,44,7,871,544,22,4,4,4,5,1,0,0,7,16,28,12,1,10103.70919,5804.95578,1185.56629,511.91826,11.1235,1.26615,56.50306,5.01023,7422.41409,1765,12009,5292,624,186.87929,1264.31569,304,1309,317,12,9.18296,4,2,6,7,1,1,11,6,11,17,43,2.26615,10999,21519,1481,2351,5,23,64,32,64,48,100,85
19100102: Ward 102,304,373,461,1715,87,306.76886,536,572,2038,129,23.4466,32,55,162,11,1154.74505,2119,2624,12174,1756,169,365,761,162,5,186,401,966,196,27,11,24,73,13,0,954,2803,5935,1330,130,1527.30826,138.6536,1777.23672,113.22027,129.73792,8.75431,10754.85073,549.24618,290.71753,52,385,708,978,104.76983,455.86888,70,757,1055,727,105.41684,24.51699,8,42,91,73,13.84712,1594.81847,312,3899,7160,4429,943.72006,1287,1652,1898,1684,152,130,12629,7199,59,72,75,73
19100103: Ward 103,232,299,217,1222,97,591.2638,922,844,3198,209,21.10194,54,59,206,10,2512.61387,3762,3391,19834,3161,88,230,479,227,26,395,861,1094,311,22,13,27,77,40,2,1034,3493,10742,3630,254,1092.08698,44.39681,2648.04098,282.51569,172.42207,6.11327,17725.50843,544.92113,230.43516,36,258,549,625,42.38063,975.06672,272,1507,1262,868,124.91889,38.59042,7,53,111,92,13.01945,2803.38636,403,4567,10439,9878,1347.93419,1105,961,2787,2978,194,157,21364,11297,66,69,76,73
19100104: Ward 104,4865,4269,6822,17163,216,236.10552,302,279,876,39,2.34466,7,10,16,0,23.4466,43,63,248,35,8922,5991,373,54,11,433,272,22,2,0,7,2,4,1,0,24,53,101,34,4,11271.94379,7767.76296,525.11566,320.23489,14.86758,6.27638,212.2477,29.51768,6331.94279,1572,13307,5420,603,234.80779,521.29654,136,593,157,14,8.54888,16.8179,1,5,6,1,1,43.03398,8,94,125,82,29.0589,12121,21214,721,1011,14,22,266,147,68,54,50,71
19100105: Ward 105,1187,1551,2211,4915,158,1477.03818,2477,2154,6148,303,33.9099,64,50,238,15,1136.67738,1991,1805,9439,1828,2261,1633,352,147,18,2913,2537,513,165,21,24,40,63,61,5,565,1551,4962,2198,212,3599.3129,1347.29947,5094.23883,906.62925,191.45235,9.51806,8445.91814,349.37317,2368.05459,609,3489,1293,539,82.79735,3894.32003,1042,3974,1106,449,77.18163,71.1889,5,55,74,127,9.17233,1509.17316,190,1992,4175,5877,713.23779,3872,6150,5450,7109,214,185,10530,5670,69,62,76,75
19100106: Ward 106,5677,7153,8205,20608,394,2766.06832,4448,4068,9202,266,16.41262,28,44,94,1,9.37864,7,16,47,4,13452,5340,825,62,27,6559,2311,201,34,4,69,17,11,0,0,25,13,0,0,0,10879.17375,8726.30267,4375.11771,3990.1076,64.89958,35.68079,16.97062,8.75431,8305.03049,1901,15342,8184,980,334.82338,5479.25046,1646,8325,1764,107,49.99562,44.2713,9,83,25,2,0,14.59589,6,37,13,2,0,13594,28443,7979,12772,66,117,42,41,56,53,74,83
19100107: Ward 107,1500,1375,1609,6540,141,381.63682,503,468,1995,75,111.19902,183,121,787,53,1865.79839,2877,2937,16221,2910,576,1776,2395,883,75,121,388,881,295,25,35,114,321,161,9,1109,3425,8905,2855,215,5718.06881,564.09168,1734.82056,158.38959,620.65672,33.26176,14558.93767,688.19559,1089.2716,114,1110,2578,3930,315.95873,399.64583,69,592,904,815,100.29328,136.6244,24,146,323,400,54.21224,2183.92587,320,3873,8893,7808,1271.54823,4804,6361,1858,1565,747,507,17472,9339,63,66,74,65
19100108: Ward 108,7099,8663,10039,24967,372,213.39926,318,383,1001,25,4.68932,8,10,26,0,4.51699,5,6,12,1,15803,7183,943,86,23,281,333,157,6,0,15,6,4,0,0,11,4,1,2,0,14963.40012,10063.22924,643.75655,187.85736,23.19833,3.79845,10.54253,5.01023,9983.7191,2336,19248,9500,926,359.66037,386.5644,96,722,353,62,23.46368,11.17233,1,17,10,2,2.26615,4.34466,0,11,7,0,0,17515,33625,807,1134,17,31,7,22,64,67,71,100
19100109: Ward 109,1226,1696,2171,4717,209,3321.81722,5303,5521,13881,1314,15.24029,25,30,77,9,43.13592,57,34,242,44,2972,1455,223,23,5,5834,5483,1347,75,8,23,32,10,1,0,27,53,78,49,9,2882.38114,1755.26478,9669.05961,2797.95662,53.0852,12.44402,182.61661,29.57775,2015.6433,504,3796,1682,295,75.4274,6847.90302,2057,10922,4549,603,148.23847,29.55644,13,45,32,9,2.21178,58.37903,7,66,54,135,11.16764,3305,6714,12025,17315,58,98,211,210,55,64,64,64
19100110: Ward 110,131,271,294,832,94,2212.99916,3920,4458,12694,2041,28.13592,55,62,193,23,0,15,12,71,11,134,206,118,16,5,3980,4070,2150,199,24,37,42,54,7,0,9,17,10,4,0,538.13475,209.08865,9629.08456,2179.6146,137.94853,27.25723,34.42487,5.01023,288.72948,86,492,296,155,21.01278,4396.86185,1681,9690,4592,1572,326.71114,47.17233,13,100,109,46,4.38411,9,4,29,17,14,1,755,867,11583,13742,183,179,58,51,67,61,74,76
19100111: Ward 111,2131,2455,3290,8201,219,1626.237,2885,3006,8662,853,9.37864,25,33,71,6,139.50727,290,416,1735,367,3542,1971,396,36,3,2374,2948,1637,119,15,22,21,10,2,0,343,691,539,27,2,5198.05086,2778.89753,6250.56299,1213.75647,41.90733,13.81891,1247.82879,166.68939,3652.15886,866,5750,2804,403,100.62008,3435.71693,930,5692,3880,781,147.29328,30.82259,2,47,37,7,2,294.56079,69,1194,917,198,63.01945,6120,10177,7562,9470,58,85,1842,1104,68,64,85,71
