Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100053,3,1,3,5,3,3
19100054,4,2,4,3,3,3
19100055,4,2,4,4,3,3
19100056,3,2,3,4,3,3
19100057,2,1,2,6,3,3
19100058,2,1,2,6,4,4
19100059,3,1,3,5,3,3
19100060,3,1,3,6,3,3
19100077,5,2,5,2,3,3
