Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100011,1,1,1,2,4,3,7,16,40,37,1,1,1,2,2,3,9,14,32,23,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,3,3,1,1,1,1,1,1,2,2,3,3,2,3,1,1,2,2,1,1,2,2,2,3,2,3,3,54,3,45
19100012,2,5,9,21,8,3,8,16,38,21,1,1,2,2,2,2,3,4,9,6,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,2,2,2,3,3,4,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,3,1,3,35,54,2,12
19100013,1,1,1,2,2,2,4,8,20,9,1,1,2,2,2,3,11,18,42,34,1,1,2,2,1,1,2,2,3,1,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,1,1,2,3,3,4,3,4,1,1,1,2,1,1,2,2,2,3,2,3,2,30,3,68
19100014,1,1,1,2,2,1,2,3,8,4,1,1,1,2,2,3,10,20,47,54,1,1,2,3,1,1,1,2,2,1,1,1,1,1,2,2,3,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,3,5,3,4,1,1,1,1,1,1,2,3,1,2,2,2,3,13,4,83
19100015,1,2,3,6,6,3,7,15,41,32,1,1,2,2,2,2,5,7,18,14,1,1,2,2,1,1,2,4,5,2,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,3,4,6,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,3,10,63,3,28
19100016,1,2,2,4,3,4,14,24,65,23,1,2,2,3,2,1,2,2,4,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,5,3,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,5,89,5,5
19100017,1,1,1,2,2,4,13,27,68,33,1,1,2,3,2,1,1,1,2,2,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,6,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,96,4,2
19100018,4,11,16,43,37,2,5,8,21,8,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,2,5,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,4,2,4,68,31,3,3
19100019,1,2,3,8,4,4,13,21,54,14,2,3,3,5,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,1,2,12,84,7,2
19100020,3,7,10,26,17,4,10,17,40,13,1,1,1,2,2,1,1,1,2,2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,3,2,3,2,2,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,2,2,37,62,2,2
