Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100059,240,246,2421,1704,45,356,683,941,2396,408,133,306,638,829,75,393,955,3121,5137,2033,516,631,264,27,9,685,1106,480,42,9,151,330,281,40,12,1142,2045,2108,417,96,1120,120,2027,137,674,36,4648,105,239,60,408,2265,1371,240,594,173,1418,1279,810,356,240,38,357,580,575,133,709,207,1800,3480,4901,393,814,3796,2136,2668,760,1232,5819,5829,54,56,71,58
19100060,75,190,411,762,51,231,562,552,1642,119,114,227,284,630,48,756,1967,3136,8831,2381,347,274,174,21,6,438,630,471,54,9,85,240,180,30,12,1023,2845,3473,1008,204,706,21,1457,76,519,30,7442,166,234,48,385,318,351,75,491,139,821,699,597,231,166,39,244,337,359,114,1334,289,2391,4455,7498,756,447,1020,1408,1703,616,687,9764,7327,42,60,73,65
19100061,152,224,593,1151,45,793,1745,1758,5342,473,206,419,362,1099,60,597,1293,2055,7664,1990,349,513,310,24,9,969,2419,1493,93,27,126,384,376,30,24,952,3112,2928,434,84,1118,127,4719,324,905,43,6684,314,248,67,415,567,660,152,1458,391,2824,2687,1600,793,296,58,406,568,523,206,988,211,2676,4241,4614,597,689,1499,5110,4998,1085,1092,7842,5701,51,70,77,57
19100062,102,158,262,984,42,452,1017,1166,3625,754,123,300,311,823,147,452,1263,1445,5414,1543,444,490,63,18,1,1074,1722,447,51,6,175,427,114,3,1,639,1728,1711,597,99,935,81,2819,330,619,82,4213,182,240,86,445,359,259,102,1059,375,2600,1404,836,452,215,104,598,457,141,123,887,172,1680,2625,4034,452,546,961,3434,3586,827,871,6129,4026,54,62,74,65
19100063,65,141,205,583,9,1502,3087,2849,9164,969,129,263,211,635,73,261,653,844,2675,579,179,279,102,21,3,1680,4752,2070,117,18,105,324,156,9,1,484,1367,663,57,15,516,66,7789,639,525,15,2161,153,178,50,214,243,200,65,2446,611,5165,4885,2191,1502,209,35,347,344,200,129,505,106,1681,1590,754,261,391,611,9064,8588,606,680,2858,2105,65,71,77,67
19100064,358,548,719,1724,49,1831,4041,3597,8949,445,29,30,33,144,9,494,1068,1086,5170,1188,870,234,63,6,1,3906,2733,408,30,9,33,42,30,6,1,632,2218,1698,228,30,1103,518,6325,1928,96,9,4213,253,708,237,1028,599,206,358,4419,1691,7118,2396,461,1831,33,3,63,60,54,29,828,133,1782,3293,2284,494,1341,2106,8058,10789,119,117,5657,3331,70,67,67,68
19100065,24,72,78,214,9,2565,5604,5463,13503,1487,16,51,30,123,6,7,3,9,36,6,108,48,3,1,1,6050,4223,384,12,3,36,42,18,1,1,3,6,9,1,1,151,57,9012,3176,87,9,27,6,105,30,130,66,15,24,6795,2651,10779,3531,951,2565,38,22,69,48,24,16,3,3,33,9,6,7,142,247,11843,16793,105,117,33,24,53,60,87,83
19100066,69,110,161,419,24,2196,4842,4740,12385,1389,186,534,560,1241,75,3,15,15,60,21,190,72,42,1,1,4144,5434,710,9,6,353,511,81,3,1,21,39,9,6,1,298,97,8969,2127,879,190,51,3,177,46,258,141,48,69,5351,1839,9573,4687,879,2196,536,164,856,636,112,186,18,9,36,39,6,3,302,445,11742,13886,1178,1362,75,57,66,73,87,73
19100067,52,83,115,331,27,2426,5633,5372,13827,1511,43,113,130,257,21,41,106,73,354,54,120,111,15,1,1,4558,5819,1089,93,33,69,129,30,3,1,54,135,87,18,1,265,51,10016,2520,189,30,271,24,89,37,238,109,60,52,6012,2132,10420,5316,1201,2426,105,34,222,108,30,43,76,19,169,183,120,41,264,324,12743,16116,253,290,310,270,55,64,82,67
19100068,39,112,123,253,36,2296,5497,5279,12099,1757,10,31,28,69,3,1,3,12,42,1,129,57,1,1,1,6347,2873,162,15,3,36,12,12,1,1,12,9,3,1,1,150,63,7703,2869,48,12,27,1,153,53,217,63,6,39,7266,2881,9882,2708,469,2296,30,9,52,27,6,10,12,3,27,9,6,1,190,350,10376,16596,51,83,21,24,61,55,77,50
19100069,131,206,388,914,27,1671,3598,3233,7894,603,31,87,68,217,9,553,1236,1260,6041,1819,457,438,39,1,1,4030,2930,177,30,1,36,110,30,1,6,673,2493,1886,306,33,898,177,6452,1579,192,9,4479,210,380,119,405,407,123,131,4317,1651,6099,1934,287,1671,70,15,107,107,75,31,922,145,2092,3845,3152,553,646,1008,6914,10141,213,192,7130,3746,60,56,89,70
19100070,1041,1612,2304,4613,157,65,156,158,550,81,11,14,12,45,3,841,1896,1776,7728,2978,2658,178,24,27,1,237,159,51,6,1,1,18,6,1,1,986,3192,2454,286,81,2527,3326,375,125,24,6,5942,293,2431,679,3276,1121,171,1041,243,76,329,163,81,65,9,1,12,27,21,11,1324,267,3247,5449,3766,841,3104,6716,486,495,30,38,9747,5427,65,61,100,65
19100071,243,395,1721,2620,66,981,2130,3690,8017,779,14,33,31,133,18,650,1335,1287,5283,951,936,281,30,3,1,2829,2371,471,9,12,21,18,27,1,1,473,1734,2116,360,42,1204,321,4861,894,87,9,4235,148,867,228,2051,743,110,243,2982,1091,6457,2391,573,981,17,12,79,61,24,14,1002,158,1631,3067,2766,650,1149,3898,5805,9729,111,107,5719,3856,48,58,80,75
19100072,85,108,213,458,21,903,1873,1770,5815,543,47,104,118,365,33,565,1377,1788,6718,1911,207,147,87,6,3,1349,2750,1185,63,21,82,150,60,18,1,1058,3270,1913,135,27,436,39,4966,451,268,36,5426,388,99,32,210,246,192,85,1621,495,3552,2767,1198,903,101,26,182,165,126,47,1083,227,3852,4187,2189,565,358,581,5384,5506,309,344,7497,4837,64,69,77,65
19100073,22,53,74,333,21,376,850,1051,3535,767,16,45,44,194,12,702,1860,2189,7870,2930,180,72,30,3,1,696,1656,676,36,15,36,57,57,9,3,1026,2958,2693,564,60,282,24,2770,260,138,15,6296,275,61,27,154,127,90,22,790,247,2496,1714,779,376,35,12,58,92,87,16,1429,269,3303,4984,4541,702,196,282,3481,3090,164,132,9679,5913,39,64,72,64
19100074,752,1097,2036,4404,57,560,1178,1177,2844,224,13,20,18,72,6,716,1281,1084,5903,950,2758,507,51,12,1,1541,757,78,15,1,15,12,33,9,1,501,1636,2243,722,123,3107,2483,2164,686,57,6,4510,139,2038,711,2604,921,228,752,1657,658,1978,560,96,560,29,6,27,18,36,13,916,159,1121,2685,4122,716,2527,5900,2284,3645,59,71,6075,3824,61,63,60,71
19100075,2036,3416,4277,8193,122,1699,3984,3928,8051,317,7,36,21,90,1,3,21,9,30,1,3342,822,72,3,6,2407,3460,483,21,3,18,24,6,6,1,3,15,3,3,1,3975,4953,5908,1871,57,24,27,3,4234,1181,6234,2447,531,2036,3745,1419,6977,2596,786,1699,28,7,58,27,24,7,12,3,24,9,6,3,5732,12366,7692,10227,67,95,36,27,59,77,75,50
19100076,170,274,323,822,27,3297,7146,7412,16836,1013,13,12,33,72,1,1,3,21,110,15,234,380,48,1,3,6239,5973,375,51,1,12,27,12,1,1,1,24,3,1,1,603,96,11250,3736,57,6,45,12,272,108,441,331,145,170,7787,3188,14033,4772,581,3297,12,6,66,18,6,13,18,3,45,24,21,1,539,1016,14834,20966,61,55,60,66,67,68,78,75
19100077,114,192,191,446,24,3141,7388,7643,15257,731,19,22,45,66,6,3,3,9,24,6,201,141,18,1,1,5782,5753,333,39,1,18,21,1,1,1,6,21,1,1,1,275,164,10660,4107,51,12,15,12,182,60,316,183,39,114,7715,2937,14314,4264,387,3141,25,9,57,15,6,19,3,6,15,12,6,3,362,592,14074,20113,78,73,12,21,69,70,57,67
19100078,78,151,180,433,21,2508,5618,6282,15444,1090,8,26,25,57,9,3,12,21,78,12,210,201,21,1,1,4680,7662,637,39,9,6,45,1,1,1,12,30,6,1,1,360,59,11384,2475,46,6,51,9,122,56,363,189,27,78,5331,2185,13016,6461,442,2508,25,9,45,34,1,8,3,12,66,33,6,3,396,504,14242,16682,63,67,72,30,70,76,83,75
19100079,143,236,259,600,39,3426,7066,7595,14750,967,9,13,18,33,3,3,9,6,30,9,304,189,3,1,1,6956,4805,114,24,9,18,12,1,1,1,15,1,6,1,1,405,161,10033,4230,21,12,21,1,268,58,462,243,42,143,8012,3412,13669,3375,284,3426,9,7,39,9,1,9,18,6,18,9,3,3,496,827,13388,20394,27,42,30,15,65,62,67,40
19100080,147,243,347,779,33,3481,7517,6717,18163,998,46,69,65,235,18,60,100,133,444,63,465,233,60,3,3,6139,8953,1427,138,12,48,105,27,6,3,111,186,99,1,6,662,136,14977,2416,191,16,342,46,378,104,489,223,63,147,7198,2209,13631,6971,1650,3481,53,25,129,123,42,46,101,40,305,196,69,60,701,849,17411,19503,198,212,440,338,79,77,90,84
19100081,100,155,214,451,30,2862,6517,6935,14112,786,58,102,98,167,3,1,6,21,51,9,186,201,6,1,3,5510,5939,304,18,12,102,45,3,1,1,6,21,12,1,1,331,89,10221,3339,108,63,33,9,176,71,373,158,30,100,7265,2834,12491,4093,551,2862,125,37,161,32,3,58,18,1,45,18,6,1,363,548,12974,18295,178,241,42,35,70,70,62,71
19100082,202,360,301,778,31,3786,8391,7788,14603,623,24,43,48,54,1,1,3,6,12,3,490,132,3,1,1,6888,3567,54,6,1,21,9,1,1,1,18,1,1,1,1,397,317,8670,5470,24,30,12,1,388,113,634,227,24,202,9478,3886,13660,2510,87,3786,52,21,57,12,1,24,6,3,9,3,3,1,521,1120,13462,21761,66,93,18,18,60,64,42,60
19100083,118,150,210,579,39,2787,6410,5805,13735,1129,9,18,9,45,3,106,201,224,844,115,225,72,12,1,1,6900,4339,343,6,15,12,9,1,1,1,174,378,214,9,1,280,270,10366,2500,33,3,697,48,260,106,374,126,15,118,7489,2724,10599,4174,433,2787,27,3,24,15,3,9,158,40,431,487,237,106,427,655,11755,18135,33,31,888,612,73,73,75,75
19100084,28,80,164,512,21,122,291,287,856,75,4,9,15,30,3,803,2346,2201,8872,3191,319,46,30,3,1,617,144,75,6,1,3,12,9,1,1,738,2804,3077,680,114,418,45,752,70,24,1,6308,243,201,40,225,146,96,28,419,176,508,196,108,122,9,1,9,12,18,4,1680,307,2574,4548,7104,803,326,457,661,967,27,34,11396,6039,64,76,33,78
19100085,304,456,535,1111,57,713,1483,1255,3486,268,3,18,6,39,1,549,1206,1143,5201,2316,651,102,12,6,1,2047,706,84,15,6,3,12,3,1,1,669,2042,1517,268,81,693,326,2551,681,30,1,3789,221,708,164,623,182,54,304,2084,698,2207,765,144,713,21,3,6,15,18,3,855,159,1974,3942,2703,549,927,1564,3087,4147,45,39,6972,3370,72,72,83,67
19100086,1272,1432,2664,5124,72,111,153,158,552,42,3,1,3,24,1,568,1531,1781,6956,3439,2785,204,27,6,39,259,111,33,1,1,6,9,3,1,1,1273,3197,1613,168,27,2766,3498,381,131,6,3,4818,363,2808,898,3459,1083,260,1272,256,71,315,124,54,111,1,1,12,9,6,3,1107,281,3505,5331,3173,568,3963,6699,440,536,18,18,9481,4727,71,57,60,63
19100087,2421,3770,5050,10207,167,140,246,207,589,15,1,1,1,3,1,4,9,12,45,3,5775,736,24,3,1,311,21,1,1,1,1,1,1,1,1,27,9,3,1,1,5791,5577,283,258,3,1,39,3,5541,1494,6801,2327,341,2421,417,94,297,48,1,140,1,1,3,1,1,1,6,1,21,24,6,4,7534,14087,455,757,1,1,30,24,69,61,1,56
19100088,3120,5885,7199,13586,317,9,12,33,42,6,3,1,3,3,1,6,6,1,9,1,6159,2015,177,1,3,24,15,1,1,1,6,1,1,1,1,1,1,1,1,1,7344,7748,33,27,3,1,6,1,8063,2392,9649,3697,940,3120,30,6,45,6,1,9,1,1,3,3,1,3,3,1,1,6,3,6,8785,21286,57,91,3,6,3,3,57,38,1,1
19100089,1852,3856,5053,8464,196,1,1,9,12,1,3,1,6,6,1,1,1,1,3,1,4480,710,48,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4097,5102,12,6,1,9,3,1,5869,1690,6214,2055,268,1852,6,3,12,1,1,1,6,3,1,1,1,3,1,1,3,1,1,1,4999,14427,9,12,1,12,1,1,59,100,1,1
19100090,3386,6098,7533,14454,283,6,25,28,45,1,1,1,1,1,1,1,1,1,1,3,6785,935,33,6,17,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,6753,8974,12,18,1,1,1,1,9536,2720,9942,2837,432,3386,37,16,24,9,1,6,1,1,1,1,1,1,1,1,1,1,1,1,9685,22070,36,65,1,1,1,6,61,1,1,100
19100091,2826,5459,6618,12452,300,11,12,9,36,1,1,1,1,1,1,1,1,1,1,1,6475,950,52,15,9,15,6,1,1,1,1,1,1,1,1,1,3,1,1,1,6066,6838,6,33,1,1,1,1,7528,2194,8976,3241,522,2826,24,6,21,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,8016,19611,27,64,1,1,6,1,57,40,1,100
19100092,2034,3742,4959,9433,258,6,14,12,36,1,1,1,1,1,1,1,1,3,3,1,4659,615,19,15,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4695,5047,24,12,1,1,1,3,5477,1709,6914,2614,347,2034,22,6,24,6,1,6,1,1,1,1,1,1,1,1,3,3,1,1,5857,14568,33,39,1,1,1,3,53,38,1,1
19100093,2788,5170,6619,12574,281,1,13,24,24,6,1,1,1,1,1,1,1,1,9,1,6637,824,27,12,1,15,3,1,1,1,1,1,1,1,1,6,1,1,1,1,6439,7728,9,24,1,1,9,1,7514,2255,9505,3246,505,2788,25,9,18,9,1,1,1,1,1,1,1,1,6,1,3,1,1,1,7925,19492,42,45,1,1,9,3,59,25,1,100
19100094,1597,3781,5031,9011,568,6,6,9,55,1,1,1,1,1,1,1,1,1,6,1,4221,1825,84,3,9,18,15,1,1,1,1,1,1,1,1,1,3,1,1,1,5224,3822,33,10,1,1,3,1,4103,1366,7266,3700,1013,1597,15,6,25,12,1,6,1,1,1,1,1,1,1,1,1,3,1,1,5572,14442,15,30,1,1,1,9,45,20,1,50
19100095,2417,5587,6136,11752,291,11,30,18,63,3,1,1,1,1,1,1,1,3,3,1,5373,2049,93,21,6,54,18,1,1,1,1,1,1,1,1,1,1,1,1,1,7057,5254,36,33,1,1,6,1,6519,1824,8959,3533,930,2417,32,12,39,18,3,11,1,1,1,1,1,1,1,1,1,3,3,1,7897,18275,36,106,1,1,1,3,60,36,1,1
19100096,3663,6984,7426,15238,283,20,51,39,102,1,1,1,1,1,1,1,1,1,3,1,7267,1401,36,15,3,75,9,3,1,1,1,1,1,1,1,3,1,1,1,1,7669,8676,42,42,1,1,1,3,8686,2467,10541,3336,656,3663,102,21,45,6,1,20,1,1,1,1,1,1,1,1,1,1,3,1,10295,23273,90,133,1,9,1,3,63,67,1,1
19100097,2982,4760,6077,13069,251,56,75,46,236,1,1,1,1,3,1,1,3,3,9,1,7120,1269,30,21,1,60,119,6,1,3,1,1,1,1,1,1,3,6,1,1,6747,7397,181,46,1,3,6,6,6613,2066,9829,3480,500,2982,79,15,138,90,1,56,1,1,3,1,1,1,3,1,6,6,1,1,8450,18734,170,197,6,1,3,9,57,13,100,1
19100098,2800,4868,5585,11603,196,10,18,24,69,1,1,1,1,1,1,1,1,3,3,1,5891,934,55,1,3,36,15,1,1,1,1,1,1,1,1,1,1,1,1,1,5906,6728,33,33,1,1,1,3,6189,1973,8553,2967,452,2800,27,24,45,9,1,10,1,1,1,1,1,1,3,1,3,1,1,1,8138,16919,39,63,1,3,3,3,62,33,1,1
19100099,3848,7321,8999,17867,531,18,41,24,114,3,1,1,1,3,1,1,1,6,3,1,7707,3846,322,27,18,48,21,3,3,1,1,1,1,1,1,6,1,1,1,1,10515,8010,51,27,3,1,9,1,8117,2524,13043,6523,2270,3848,59,24,54,27,1,18,1,1,3,1,1,1,1,1,3,6,1,1,12065,26484,72,134,1,3,9,3,60,73,1,100
19100100,98,195,181,453,33,2260,4821,4168,10157,704,40,77,49,165,6,243,538,519,2669,585,249,84,18,3,1,5177,2635,339,27,12,42,69,18,3,1,339,1167,756,96,21,325,87,7061,2428,108,25,1948,148,272,86,265,136,27,98,5482,1998,7748,2749,480,2260,45,18,115,69,24,40,419,82,851,1760,1073,243,342,628,9083,13062,153,206,2950,1538,70,70,67,76
