Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100011,36,97,121,252,36,1517,3283,3671,8754,796,12,33,22,66,6,596,1505,1556,5246,671,78,114,30,1,1,3031,3624,590,27,9,6,30,6,3,1,815,2830,1049,48,12,222,34,6554,1575,48,13,4112,287,91,20,165,125,63,36,3444,1146,6447,3749,846,1517,33,9,45,31,3,12,1129,217,3380,3171,758,596,214,314,7408,10632,63,85,5555,4000,75,70,78,80
19100012,1511,1967,3134,5682,75,1821,4154,3898,8688,490,9,30,27,66,6,207,436,350,1500,147,2532,441,57,6,3,3955,2786,434,27,15,24,30,3,1,1,136,774,459,27,3,2777,3587,6072,2251,57,12,1251,68,3566,1044,3956,1006,209,1511,4972,1446,5825,2341,639,1821,27,4,39,42,15,9,309,59,595,994,404,207,4274,8111,7288,11759,57,77,1522,1109,70,67,33,86
19100013,106,133,220,535,24,1078,2407,2413,5934,238,17,39,27,84,3,960,2422,2743,9382,1394,210,246,108,6,1,2176,2616,815,48,6,3,45,27,1,1,903,4794,2870,216,27,518,71,5213,602,78,9,7888,421,219,44,223,191,182,106,2640,813,3807,2526,618,1078,29,6,31,63,21,17,1695,406,4176,6085,3188,960,441,617,5400,6657,60,101,9954,6934,74,79,69,77
19100014,70,110,215,480,12,355,719,792,2464,110,21,24,20,87,3,1164,2500,3326,11433,2393,85,259,120,18,1,487,1105,674,21,1,6,24,18,3,3,1493,5958,3280,225,39,461,44,2221,126,75,1,9745,438,108,22,141,224,285,70,654,151,1128,1112,874,355,16,3,25,61,21,21,1905,328,5331,7894,3759,1164,303,581,2092,2320,77,79,12453,8389,58,70,94,72
19100015,402,690,1065,1915,81,2390,5376,4933,13247,1003,17,36,51,96,9,436,1085,1065,4307,594,774,403,99,9,1,3945,5318,1940,129,18,15,42,24,3,3,555,2196,1170,123,4,1150,842,10481,2006,81,18,3522,157,853,243,1159,800,312,402,5430,1606,8466,4536,3086,2390,33,8,56,61,27,17,764,140,1820,2771,1338,436,1541,2613,11832,15095,124,108,4535,2951,62,72,91,81
19100016,262,495,440,1136,36,3639,8279,6756,16671,566,42,69,34,138,1,53,121,136,576,56,372,496,57,1,3,5608,7025,556,33,9,51,78,3,1,3,114,226,111,1,1,862,208,12501,3167,93,39,366,109,502,148,793,401,135,262,8165,2580,13196,5529,860,3639,60,6,95,57,3,42,133,46,263,287,99,53,923,1456,14403,21513,113,179,507,407,74,74,75,68
19100017,120,215,244,497,15,3457,7865,7392,16939,810,21,22,33,87,1,16,27,12,72,3,198,183,45,3,1,5780,7109,992,63,6,27,33,6,1,1,12,33,6,1,1,394,134,12787,3084,66,15,45,6,218,68,290,208,117,120,7808,2728,13075,6076,1318,3457,9,6,75,30,9,21,33,6,42,24,9,16,388,667,14774,21723,72,95,60,70,67,69,86,58
19100018,2271,3986,4902,9808,302,975,2221,1581,4184,152,6,15,24,39,3,18,22,24,159,18,4211,1018,66,1,3,1144,1677,159,15,6,12,18,1,1,1,57,27,1,1,1,4644,6434,3002,871,21,6,129,12,5729,1679,6766,2271,382,2271,2117,646,3190,1398,276,975,12,3,36,30,1,6,19,3,96,63,42,18,7497,13858,3765,5297,36,42,121,94,68,77,83,80
19100019,885,1137,1386,3298,64,5847,11902,8959,21725,540,103,219,137,309,9,8,28,24,54,6,1372,390,24,3,1,9422,4749,267,27,9,90,66,9,1,1,24,9,3,1,1,1733,1897,12797,7936,123,140,36,3,1589,490,2025,807,121,885,13227,4367,17187,4083,396,5847,210,64,251,82,6,103,24,6,43,18,3,8,2577,4224,19559,29441,299,453,39,52,64,66,60,63
19100020,1727,3136,3184,6759,157,2699,5590,4197,9271,269,13,20,24,36,3,6,12,6,21,1,2650,618,21,12,12,4152,1990,90,6,3,15,6,1,1,1,6,6,1,1,1,2721,3771,4908,3691,15,18,18,1,3841,1072,5128,1804,255,1727,6264,2081,7975,1496,57,2699,16,13,21,21,1,13,12,1,15,6,3,6,4655,10316,8535,13477,39,55,27,21,52,63,80,50
19100021,55,95,2536,924,15,1656,3630,3933,9205,1033,15,20,47,99,12,30,107,142,507,171,216,174,27,6,3,3619,3148,640,42,6,18,24,18,1,1,75,276,75,9,1,372,452,6458,1856,57,9,360,21,104,36,136,2395,872,55,4280,1387,6977,2716,1523,1656,22,3,60,35,48,15,87,17,303,361,143,30,237,3342,7754,11750,87,124,614,326,63,65,44,60
19100022,67,131,156,263,18,2686,6433,6011,12673,639,49,102,108,226,12,17,42,15,91,6,132,78,6,1,1,5278,4214,207,24,9,90,54,6,1,1,12,42,39,1,1,174,68,8361,3063,138,70,76,6,188,43,151,102,30,67,7979,2739,9989,3112,323,2686,110,60,187,61,6,49,28,3,36,37,33,17,267,395,10760,17655,199,290,105,71,61,64,65,65
19100023,132,106,342,892,39,1436,2957,3442,8490,882,9,19,54,78,12,464,947,1976,4909,1828,240,369,90,1,6,3231,3768,501,33,9,18,33,15,1,1,686,2576,1423,131,15,667,110,6217,1421,66,9,4227,180,160,64,322,484,251,132,3262,1159,6144,3474,858,1436,28,9,37,53,36,9,715,181,2225,3517,2777,464,449,1015,6621,10620,78,126,5819,4281,48,60,73,61
19100024,224,394,722,1423,69,2453,5440,5582,13108,946,19,46,68,151,12,6,22,21,69,3,550,255,87,9,1,4818,4768,886,39,15,15,63,18,1,3,9,39,6,1,1,778,462,8734,2723,111,15,45,9,537,192,813,603,282,224,6158,2177,9235,4568,1531,2453,48,4,111,82,27,19,18,7,33,24,33,6,1034,1842,11131,16388,144,137,48,57,60,65,78,50
19100025,70,146,135,337,27,2561,5646,5633,12773,1208,182,509,609,1470,150,6,12,6,42,3,177,87,9,1,3,6241,3864,267,15,12,415,686,153,15,6,9,18,6,3,1,209,62,8321,3706,1016,190,33,3,175,55,282,74,18,70,7147,2660,10072,3745,417,2561,431,159,965,644,397,182,9,3,21,15,9,6,286,454,10376,17437,1383,1544,21,24,57,60,69,75
