Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100053,2,2,2,4,4,2
19100054,2,2,2,5,5,4
19100055,3,3,3,4,5,3
19100056,2,2,3,1,4,2
19100057,2,2,2,3,3,3
19100058,2,2,2,5,5,3
19100059,1,1,1,5,4,3
19100060,2,2,2,2,5,2
19100077,2,2,1,5,4,3
