Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100001,2,2,2,6,6,2
19100002,2,2,2,5,5,2
19100003,2,2,2,5,5,3
19100004,3,3,3,3,4,4
19100005,1,1,1,6,5,2
19100006,1,1,1,2,3,2
19100007,2,2,2,1,4,2
19100008,3,3,3,5,5,4
19100009,2,2,1,1,3,1
19100010,2,2,2,2,4,2
19100011,3,3,3,2,4,3
19100012,3,3,3,1,3,2
19100013,4,4,4,1,3,3
19100014,4,4,4,2,4,3
19100015,1,1,1,6,6,2
19100016,4,4,4,1,3,3
19100017,3,3,4,1,3,2
19100018,1,1,1,1,2,1
19100019,5,5,5,1,3,4
19100020,3,3,3,1,3,3
19100021,1,1,1,6,6,2
19100022,2,2,2,1,3,2
19100023,2,2,3,6,6,4
19100024,2,2,2,1,3,1
19100025,3,3,3,1,3,2
19100026,2,2,2,3,4,2
19100027,2,2,2,4,5,2
19100028,2,2,2,1,3,2
19100029,4,4,4,1,3,2
19100030,3,3,3,2,3,2
19100031,3,3,3,1,3,2
19100032,3,3,3,1,3,3
19100033,4,4,4,1,2,4
19100034,3,3,3,1,2,3
19100035,3,3,3,1,2,3
19100036,3,3,3,1,2,3
19100037,1,1,1,1,1,1
19100038,1,1,1,1,1,1
19100039,1,1,1,1,2,2
19100040,2,2,2,1,2,2
19100041,1,1,1,1,1,1
19100042,2,2,2,1,2,2
19100043,3,3,4,1,4,3
19100044,3,3,3,1,3,2
19100045,3,3,3,1,2,2
19100046,2,2,3,1,3,2
19100047,3,3,3,1,3,2
19100048,2,2,2,1,5,2
19100049,3,3,3,1,4,2
19100050,2,2,3,1,3,2
19100051,1,1,1,1,2,2
19100052,1,1,2,1,2,2
19100053,2,2,2,4,4,2
19100054,2,2,2,5,5,4
19100055,3,3,3,4,5,3
19100056,2,2,3,1,4,2
19100057,2,2,2,3,3,3
19100058,2,2,2,5,5,3
19100059,1,1,1,5,4,3
19100060,2,2,2,2,5,2
19100061,2,2,2,4,4,2
19100062,1,1,1,5,5,2
19100063,2,2,2,2,5,2
19100064,1,1,1,5,6,3
19100065,2,2,2,1,4,2
19100066,2,2,2,1,3,2
19100067,4,4,4,1,4,3
19100068,2,2,2,1,3,2
19100069,3,3,3,3,4,4
19100070,1,1,2,6,6,3
19100071,2,2,2,5,5,2
19100072,1,1,2,1,4,2
19100073,1,1,2,5,6,2
19100074,3,3,3,3,4,4
19100075,3,3,3,1,3,3
19100076,3,3,3,1,3,2
19100077,2,2,1,5,4,3
19100078,3,3,3,1,4,2
19100079,3,3,3,1,3,2
19100080,4,4,4,1,2,5
19100081,2,2,3,1,4,2
19100082,3,3,4,1,3,2
19100083,1,1,1,4,5,2
19100084,2,2,1,6,6,2
19100085,2,2,2,3,4,3
19100086,3,3,3,1,3,3
19100087,2,2,2,1,2,2
19100088,3,3,3,1,3,3
19100089,2,2,2,1,2,3
19100090,2,2,2,1,2,3
19100091,2,2,2,1,2,2
19100092,3,3,3,1,2,3
19100093,2,2,2,1,2,3
19100094,1,1,2,1,2,2
19100095,5,5,5,1,2,6
19100096,2,2,2,1,2,2
19100097,2,2,2,1,2,2
19100098,2,2,2,1,2,2
19100099,5,5,5,1,3,4
19100100,4,4,4,3,4,4
19100101,3,3,3,1,2,2
19100102,2,2,2,5,5,2
19100103,3,3,4,6,6,4
19100104,3,3,3,1,3,4
19100105,3,3,3,4,4,4
19100106,6,6,6,1,2,5
19100107,4,4,4,5,5,5
19100108,5,5,5,1,2,5
19100109,3,3,3,1,3,3
19100110,2,2,2,1,4,1
19100111,3,3,3,2,3,3
