ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100011,1,2,3,4,9,4,9,16,45,41,1,2,2,3,2,1,3,7,11,23,1,1,2,1,2,1,2,3,3,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,5,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,3,2,2,11,72,4,17
19100012,1,2,2,5,9,1,14,26,65,43,1,2,2,3,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,95,5,2
19100013,1,1,2,3,4,4,13,25,53,16,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,1,2,2,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,2,18,81,3,2
19100014,1,1,1,2,5,4,9,15,43,27,1,2,2,3,2,2,3,6,12,12,1,1,2,2,2,1,2,3,3,3,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,3,2,2,12,70,5,18
19100015,1,2,3,8,14,3,3,4,12,14,1,2,2,3,4,3,11,20,42,89,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,2,3,5,4,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,3,3,3,7,5,1,1,1,1,1,1,2,2,2,4,2,3,4,17,5,77
19100016,1,2,3,8,9,2,12,22,53,24,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3,2,2,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,2,20,78,4,2
19100017,1,1,1,2,6,4,13,24,63,38,1,2,2,3,2,1,1,1,2,2,1,1,2,1,1,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,3,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,5,93,4,2
19100018,1,1,2,2,4,5,1,2,3,4,1,1,2,3,4,1,1,2,3,4,2,3,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,4,5,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,6,4,4,92,4,4,4
19100019,1,1,2,2,3,4,12,18,46,18,1,2,2,3,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,2,2,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,20,78,4,2
19100020,1,2,2,6,13,5,11,20,45,18,1,2,2,3,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,2,2,2,2,4,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,30,68,3,2
