ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100057,1,1,1,2,6,4,3,7,18,27,1,3,10,10,10,2,3,15,18,18,1,1,2,2,3,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,2,2,2,3,2,1,1,1,1,1,1,1,2,2,2,2,2,16,28,25,35
19100058,3,6,13,31,25,1,2,3,7,8,2,4,5,12,7,2,7,20,30,45,1,1,2,2,3,1,1,1,2,3,1,1,2,4,1,1,2,2,4,3,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,3,2,1,1,1,1,3,2,1,2,2,2,5,3,1,1,1,1,1,1,1,2,2,2,2,2,9,15,24,57
19100059,1,1,2,3,7,1,1,2,5,7,1,2,9,8,4,2,5,22,24,48,1,1,2,2,3,1,1,1,2,2,1,1,2,3,3,1,2,2,3,4,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,3,2,1,2,2,2,5,3,1,1,1,1,1,1,1,2,1,2,2,2,10,11,28,56
19100060,1,2,4,9,17,1,6,10,31,45,3,9,11,26,19,1,1,3,5,9,1,1,1,1,2,1,2,3,4,5,1,2,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,5,1,2,2,2,4,4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,3,2,2,4,50,44,7
19100061,1,2,2,4,8,3,7,16,40,33,1,2,3,6,3,2,5,10,21,53,1,1,2,1,3,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,3,3,1,1,1,2,1,1,1,2,2,3,2,3,7,50,8,39
19100062,1,1,2,4,19,1,2,3,9,12,2,2,4,8,6,3,9,20,35,69,1,1,2,2,3,1,1,1,2,3,1,1,1,2,4,2,2,2,5,7,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,3,3,6,4,1,1,1,1,1,1,2,2,2,2,2,3,7,19,14,64
19100063,2,4,8,21,14,2,7,13,40,57,2,4,4,11,11,1,2,4,7,11,1,1,1,1,1,1,2,3,5,4,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,4,6,6,1,1,1,2,2,3,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,3,2,3,4,71,18,10
19100064,2,4,6,15,10,4,3,4,11,11,1,2,2,6,4,2,6,14,33,77,1,1,2,2,3,1,1,2,2,2,1,1,1,2,1,2,2,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,1,1,2,3,3,1,1,1,1,1,2,1,2,3,3,4,5,1,1,1,1,1,1,2,2,2,3,2,2,7,19,11,67
19100065,2,3,5,12,14,4,12,19,56,79,1,2,2,4,3,1,1,1,2,2,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,2,3,2,94,5,2
19100066,1,1,5,10,21,1,13,23,60,73,1,2,2,4,3,1,1,1,2,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,94,5,2
19100067,1,1,1,2,5,4,10,16,40,24,2,4,7,14,12,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,3,3,2,3,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,19,62,21,2
19100068,1,1,1,2,4,5,13,23,62,80,1,2,2,3,2,1,1,1,2,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,3,2,96,4,2
19100069,4,10,17,44,30,2,1,2,3,4,1,2,2,3,2,2,9,13,29,45,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,2,1,1,2,2,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,2,2,1,1,1,1,1,2,2,3,2,3,47,5,4,49
19100070,1,1,1,2,3,4,2,2,6,4,1,2,3,7,2,3,11,21,47,57,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,3,6,6,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,3,7,4,1,1,1,1,1,1,2,3,2,2,2,3,3,13,12,75
19100071,1,1,1,2,2,5,3,5,12,10,1,2,2,4,3,3,10,20,40,69,1,1,2,2,3,1,1,1,2,2,1,1,1,2,3,1,2,3,5,4,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,3,3,3,5,5,1,1,1,1,1,1,2,2,2,3,2,3,10,17,8,69
19100072,3,6,9,25,19,1,9,15,50,80,1,2,2,5,5,1,2,3,6,7,1,1,1,1,1,1,2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,3,4,6,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,3,2,3,5,85,7,7
19100073,1,1,2,5,40,2,3,5,15,23,1,2,3,6,6,2,8,18,37,78,1,1,2,2,3,1,1,2,3,3,1,1,1,2,2,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,3,3,1,1,1,1,2,2,2,2,3,3,4,5,1,1,1,1,1,1,2,2,2,3,2,3,4,27,9,65
19100074,3,9,15,39,26,1,3,5,12,9,1,1,2,3,2,2,8,11,27,38,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,4,4,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,1,2,1,1,1,1,1,2,2,2,2,2,34,17,6,47
19100075,3,9,15,38,26,2,11,17,48,33,1,2,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3,2,2,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,2,3,21,76,4,2
19100076,5,17,29,71,66,1,12,21,61,56,1,1,2,2,3,1,1,1,2,2,1,1,3,2,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,3,2,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,12,86,3,2
19100077,3,9,14,36,26,3,2,4,9,14,1,2,3,8,5,2,4,18,34,36,1,1,2,2,3,1,1,1,2,2,1,1,1,2,2,1,2,3,4,4,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,6,3,1,1,1,1,1,1,1,2,2,2,2,2,8,14,15,67
19100078,5,14,24,61,33,1,13,20,62,64,1,2,2,4,4,1,1,1,2,2,1,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,3,94,5,2
19100079,5,15,27,64,71,1,15,24,67,52,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,1,2,96,3,2
19100080,5,17,30,69,72,1,4,6,14,7,1,2,2,3,3,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,3,3,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,2,3,72,24,5,2
19100081,5,19,30,78,138,1,13,22,66,65,1,1,2,3,2,1,1,1,2,2,1,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,96,3,2
19100082,5,17,28,66,48,1,15,26,66,36,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,2,2,97,3,2
19100083,5,18,31,78,174,1,2,2,4,4,1,1,1,2,3,2,7,18,34,79,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,1,2,1,1,1,1,2,2,3,3,2,3,39,6,3,56
19100084,5,15,24,63,35,1,3,4,11,13,1,2,2,3,3,3,10,17,40,118,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,3,3,4,4,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,3,3,3,6,6,1,1,1,1,1,1,2,2,2,3,2,3,5,18,4,77
19100085,5,18,31,70,53,1,2,3,8,5,1,1,2,3,2,2,4,9,18,46,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,3,3,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,1,1,1,1,1,2,2,3,2,3,51,13,4,36
19100086,5,18,33,73,89,1,6,10,25,29,1,2,2,4,2,1,1,2,3,5,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,2,4,1,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,3,2,3,56,38,5,5
19100087,5,17,28,66,50,1,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,3,5,4,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,2,3,94,3,3,3
19100088,2,4,6,16,8,4,9,16,38,20,1,2,2,3,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,3,3,2,4,2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,3,2,3,45,52,4,2
19100089,1,2,3,6,10,3,1,1,2,3,1,1,1,2,3,1,1,1,2,3,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,3,3,95,3,3,3
19100090,5,17,30,70,40,2,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,2,4,95,3,3,3
19100091,1,2,2,5,8,1,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,4,5,3,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,2,5,95,3,3,3
19100092,1,1,1,3,5,1,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,7,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,7,8,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,3,3,4,95,3,3,3
19100093,5,10,20,53,20,1,1,1,2,3,1,1,1,2,3,1,1,1,2,3,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,2,4,95,3,3,3
19100094,2,3,5,11,10,2,1,2,3,3,1,1,2,3,3,1,1,2,3,3,2,4,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,7,6,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,3,4,1,92,4,4,4
19100095,4,10,15,39,22,3,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,2,2,98,2,2,2
19100096,2,2,3,12,7,1,1,2,3,3,1,1,2,3,3,1,1,2,3,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,1,5,93,4,4,4
19100097,5,15,24,62,27,1,1,2,3,3,1,1,2,3,3,1,1,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,6,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,4,3,6,94,4,4,4
19100098,2,4,6,12,16,4,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,1,4,94,3,3,3
19100099,1,1,1,3,8,4,13,23,51,23,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,1,3,2,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,2,25,74,3,2
19100100,3,6,10,25,20,3,8,13,33,20,1,2,2,4,2,2,5,9,21,31,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,2,2,2,3,1,1,1,2,1,1,1,2,2,2,2,2,8,55,6,36
19100101,1,1,1,3,12,1,4,5,13,6,1,1,1,2,3,1,1,1,2,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,4,4,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,3,4,79,19,3,3
19100102,1,2,2,9,10,1,2,3,9,6,1,2,2,3,2,3,11,25,52,45,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,3,2,1,1,1,1,3,3,1,1,1,2,2,2,1,1,1,1,1,2,2,3,4,5,4,6,1,1,1,1,1,1,2,3,2,3,2,3,6,17,6,75
19100103,1,1,2,6,7,1,2,3,9,6,1,2,2,3,2,4,12,20,52,49,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,3,3,4,3,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,3,4,5,6,1,1,1,1,1,1,2,3,2,2,2,2,3,15,5,81
19100104,1,1,1,3,18,1,2,2,5,2,1,1,1,2,2,1,1,2,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,3,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3,91,8,2,2
19100105,1,2,2,10,18,1,6,7,20,10,1,2,2,4,3,3,8,13,30,34,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,3,3,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,3,4,4,1,1,1,2,1,1,1,2,2,2,2,2,16,34,6,48
19100106,1,1,2,4,6,1,8,12,26,7,1,1,2,2,2,1,1,1,2,2,2,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,3,3,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,57,43,3,2
19100107,1,4,9,49,70,1,2,2,6,3,2,3,2,9,5,3,9,17,40,42,1,1,3,4,5,1,1,1,2,2,1,1,2,2,1,2,2,3,3,2,1,1,1,1,1,1,2,2,1,1,1,2,5,4,1,1,1,1,2,2,1,1,1,1,2,3,2,2,3,4,4,5,1,1,1,1,1,1,2,2,1,2,2,2,14,9,15,66
19100108,1,2,2,11,9,1,2,2,5,2,1,1,1,2,2,1,1,1,2,2,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,2,3,93,7,2,2
19100109,1,2,3,14,13,1,13,21,54,46,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,2,2,16,84,2,2
19100110,1,1,1,3,11,1,12,21,61,89,1,2,2,5,5,1,1,1,2,2,1,1,1,1,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,92,7,2
19100111,1,1,2,4,8,1,9,14,40,36,1,2,2,3,2,1,3,5,9,10,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,2,2,2,3,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,3,2,3,34,57,2,11
